전철역명,지번주소
원당,대한민국 경기도 고양시 덕양구 성사2동 고양대로 1429
백석,대한민국 경기도 고양시 일산동구 백석동 629-1
마두,대한민국 고양시 마두2동 마두
정발산,대한민국 고양시 마두1동 정발산
주엽,대한민국 경기도 고양시 일산서구 주엽동 475-1
대화,대한민국 경기도 고양시 일산서구 대화동 산2221
방화,대한민국 서울특별시 강서구 방화동 410
개화산,대한민국 서울특별시 강서구 방화2동 531-16
송정,대한민국 서울특별시 공항동 송정
마곡,대한민국 서울특별시 강서구 가양동 531
발산,대한민국 서울특별시 강서구 가양1동 1454-9
우장산,대한민국 서울특별시 내발산동 우장산
화곡,대한민국 서울특별시 화곡동 화곡역
신정,대한민국 서울특별시 신정4동 신정역
목동,대한민국 서울특별시 목동 목동역.5호선5번출구
오목교,대한민국 서울특별시 목동 오목교
양평,대한민국 서울특별시 영등포구 양평동3가 22-1
여의나루,대한민국 서울특별시 여의동 여의나루
마포,대한민국 서울특별시 마포구 도화동 160
애오개,대한민국 서울특별시 마포구 아현동 612
서대문,대한민국 서울특별시 충현동 서대문
광화문,대한민국 서울특별시 종로구 세종로 190-1
신금호,대한민국 서울특별시 성동구 금호동1가 506-7
행당,대한민국 서울특별시 성동구 행당동 317-241
마장,대한민국 서울특별시 마장동 마장역
답십리,대한민국 서울특별시 성동구 용답동 98-3
장한평,대한민국 서울특별시 용답동 장한평역
아차산,대한민국 서울특별시 어린이대공원후문아차산역
광나루,대한민국 서울특별시 광장동 광나루
강동,대한민국 서울특별시 천호동 강동역
길동,대한민국 서울특별시 길동 길동
굽은다리,대한민국 서울특별시 명일1동 굽은다리
명일,대한민국 서울특별시 강동구 명일동 312
고덕,대한민국 서울특별시 고덕동 고덕
둔촌동,대한민국 서울특별시 강동구 둔촌동 416
올림픽공원,대한민국 서울특별시 송파구 방이동 89
방이,대한민국 서울특별시 오금동 방이역
개롱,대한민국 서울특별시 송파구 가락동 166
거여,대한민국 서울특별시 송파구 거여동 5
마천,대한민국 서울특별시 송파구 마천1동 마천로57길
응암,대한민국 서울특별시 은평구 역촌동 85-41
역촌,대한민국 서울특별시 은평구 녹번동 서오릉로 지하 63
독바위,대한민국 서울특별시 은평구 불광1동 13-15
구산,대한민국 서울특별시 은평구 갈현2동 531-9
새절,대한민국 서울특별시 신사동 새절
증산,대한민국 서울특별시 증산역.증산동주민센터
월드컵경기장,대한민국 서울특별시 마포구 성산2동 421-2
마포구청,대한민국 서울특별시 성산2동 마포구청역
망원,대한민국 서울특별시 망원전철역
상수,대한민국 서울특별시 상수동 상수역
광흥창,대한민국 서울특별시 마포구 서강동 145
대흥,대한민국 서울특별시 마포구 대흥동 267
녹사평,대한민국 서울특별시 서울시 용산구 이촌동558
이태원,대한민국 서울특별시 용산구 이태원동 이태원로 지하 177
한강진,대한민국 서울특별시 용산구 한남동 이태원로 281
버티고개,대한민국 서울특별시 중구 신당동 366-454
창신,대한민국 서울특별시 종로구 창신동 21-1
안암,대한민국 서울특별시 성북구 안암동5가 146-48
고려대,대한민국 서울특별시 성북구 종암동 29-53
월곡,대한민국 서울특별시 하월곡동 월곡
상월곡,대한민국 서울특별시 성북구 상월곡동 35-3
돌곶이,대한민국 서울특별시 성북구 석관동 346-3
화랑대,대한민국 서울특별시 노원구 공릉2동 60
봉화산,대한민국 서울특별시 중랑구 신내1동 643-3
장암,대한민국 의정부시 장암동 장암
수락산,대한민국 서울특별시 상계동 수락산역
마들,대한민국 서울특별시 노원구 상계동 647
중계,대한민국 서울특별시 중계2.3동 중계역
하계,대한민국 서울특별시 노원구 하계동 280
먹골,대한민국 서울특별시 중랑구 묵동 189-5
중화,대한민국 서울특별시 중랑구 중화동 285
면목,대한민국 서울특별시 중랑구 면목동 120
사가정,대한민국 서울특별시 중랑구 면목3.8동 496
용마산,대한민국 서울특별시 중랑구 면목4동 76-1
중곡,대한민국 서울특별시 광진구 중곡동 167
어린이대공원,대한민국 서울특별시 광진구 군자동 98-9
뚝섬유원지,대한민국 서울특별시 광진구 자양3동 능동로 10 뚝섬유원지
청담,대한민국 서울특별시 강남구 삼성동 학동로
학동,대한민국 서울특별시 논현동 학동역
논현,대한민국 서울특별시 논현1동 논현
반포,대한민국 서울특별시 서초구 잠원동 103
내방,대한민국 서울특별시 방배동 내방역
남성,대한민국 서울특별시 동작구 사당동 사당로 지하218
숭실대입구,대한민국 서울특별시 상도동 숭실대입구역2번출구
장승배기,대한민국 서울특별시 상도2동 장승배기역
신대방삼거리,대한민국 서울특별시 동작구 대방동 393
