시,구,구코드,동,법정동,법정동코드,합계
서울특별시,관악구,11620,은천동,봉천동,11620101,"1,719"
서울특별시,관악구,11620,성현동,봉천동,11620101,"1,525"
서울특별시,관악구,11620,청룡동,봉천동,11620101,921
서울특별시,관악구,11620,난곡동,신림동,11620102,"1,588"
서울특별시,관악구,11620,삼성동,신림동,11620102,"1,528"
서울특별시,관악구,11620,미성동,신림동,11620102,"1,405"
서울특별시,서초구,11650,서초1동,서초동,11650108,472
서울특별시,서초구,11650,서초2동,서초동,11650108,298
서울특별시,서초구,11650,서초3동,방배동,11650101,699
서울특별시,서초구,11650,서초4동,서초동,11650108,453
서울특별시,서초구,11650,잠원동,잠원동,11650106,609
서울특별시,서초구,11650,반포본동,반포동,11650107,200
서울특별시,서초구,11650,반포1동,반포동,11650107,532
서울특별시,서초구,11650,반포2동,반포동,11650107,254
서울특별시,서초구,11650,반포3동,잠원동,11650106,326
서울특별시,서초구,11650,반포4동,반포동,11650107,364
서울특별시,서초구,11650,방배본동,방배동,11650101,469
서울특별시,서초구,11650,방배1동,방배동,11650101,464
서울특별시,서초구,11650,방배2동,방배동,11650101,756
서울특별시,서초구,11650,방배3동,방배동,11650101,603
서울특별시,서초구,11650,방배4동,방배동,11650101,616
서울특별시,서초구,11650,양재1동,양재동,11650102,"1,940"
서울특별시,서초구,11650,양재2동,양재동,11650102,674
서울특별시,서초구,11650,내곡동,내곡동,11650109,852
서울특별시,강남구,11680,논현1동,논현동,11680108,610
서울특별시,강남구,11680,논현2동,논현동,11680108,523
서울특별시,강남구,11680,삼성1동,삼성동,11680105,292
서울특별시,강남구,11680,삼성2동,삼성동,11680105,556
서울특별시,강남구,11680,대치1동,대치동,11680106,274
서울특별시,강남구,11680,대치4동,대치동,11680106,372
서울특별시,강남구,11680,역삼1동,역삼동,11680101,777
서울특별시,강남구,11680,역삼2동,역삼동,11680101,662
서울특별시,강남구,11680,도곡1동,도곡동,11680118,440
서울특별시,강남구,11680,도곡2동,도곡동,11680118,479
서울특별시,강남구,11680,개포1동,개포동,11680103,267
서울특별시,강남구,11680,개포4동,개포동,11680103,520
서울특별시,강남구,11680,일원본동,일원동,11680114,722
서울특별시,강남구,11680,일원1동,일원동,11680114,"1,093"
서울특별시,강남구,11680,일원2동,개포동,11680103,"1,173"
서울특별시,강남구,11680,수서동,수서동,11680115,"2,174"
서울특별시,강남구,11680,세곡동,세곡동,11680111,"1,988"
서울특별시,강남구,11680,압구정동,신사동,11680107,479
서울특별시,강남구,11680,청담동,청담동,11680104,565
서울특별시,강남구,11680,대치2동,대치동,11680106,641
서울특별시,강남구,11680,개포2동,개포동,11680103,312
서울특별시,송파구,11710,풍납1동,풍납동,11710103,697
서울특별시,송파구,11710,풍납2동,풍납동,11710103,811
서울특별시,송파구,11710,거여1동,거여동,11710113,610
서울특별시,송파구,11710,거여2동,거여동,11710113,941
서울특별시,송파구,11710,마천1동,마천동,11710114,"1,228"
서울특별시,송파구,11710,마천2동,마천동,11710114,"1,216"
서울특별시,송파구,11710,방이1동,방이동,11710111,431
서울특별시,송파구,11710,방이2동,방이동,11710111,795
서울특별시,송파구,11710,오륜동,방이동,11710111,310
서울특별시,송파구,11710,오금동,오금동,11710112,"1,415"
서울특별시,송파구,11710,송파1동,송파동,11710104,687
서울특별시,송파구,11710,송파2동,송파동,11710104,518
서울특별시,송파구,11710,석촌동,석촌동,11710105,"1,058"
서울특별시,송파구,11710,삼전동,삼전동,11710106,969
서울특별시,송파구,11710,가락본동,가락동,11710107,746
서울특별시,송파구,11710,가락1동,가락동,11710107,14
서울특별시,송파구,11710,가락2동,가락동,11710107,926
서울특별시,송파구,11710,문정1동,문정동,11710108,598
서울특별시,송파구,11710,문정2동,문정동,11710108,525
서울특별시,송파구,11710,장지동,문정동,11710108,"1,489"
서울특별시,송파구,11710,위례동,장지동,11710109,752
서울특별시,송파구,11710,잠실본동,잠실동,11710101,842
서울특별시,송파구,11710,잠실4동,신천동,11710102,597
서울특별시,송파구,11710,잠실6동,신천동,11710102,357
서울특별시,송파구,11710,잠실7동,잠실동,11710101,200
서울특별시,송파구,11710,잠실2동,잠실동,11710101,564
서울특별시,송파구,11710,잠실3동,잠실동,11710101,712
서울특별시,강동구,11740,강일동,상일동,11740103,"1,493"
서울특별시,강동구,11740,상일동,상일동,11740103,485
서울특별시,강동구,11740,명일1동,명일동,11740101,779
서울특별시,강동구,11740,명일2동,명일동,11740101,468
서울특별시,강동구,11740,고덕1동,고덕동,11740102,773
서울특별시,강동구,11740,고덕2동,고덕동,11740102,551
서울특별시,강동구,11740,암사2동,암사동,11740107,480
서울특별시,강동구,11740,암사3동,암사동,11740107,556
서울특별시,강동구,11740,천호1동,천호동,11740109,"1,414"
서울특별시,강동구,11740,천호3동,천호동,11740109,"1,337"
서울특별시,강동구,11740,성내1동,성내동,11740108,652
서울특별시,강동구,11740,성내2동,성내동,11740108,"1,120"
서울특별시,강동구,11740,성내3동,성내동,11740108,876
서울특별시,강동구,11740,둔촌1동,둔촌동,11740106,7
서울특별시,강동구,11740,둔촌2동,둔촌동,11740106,956
서울특별시,강동구,11740,암사1동,암사동,11740107,"1,661"
서울특별시,강동구,11740,천호2동,천호동,11740109,"1,807"
서울특별시,강동구,11740,길동,길동,11740105,"1,965"
