기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	용산구	이태원1동	236	132	104	105	56	49	27	13	14	21	14	7	35	20	15	2	2	-	13	10	3	5	4	1	13	7	6	6	-	6	2	2	-	1	1	-	-	-	-	-	-	-	5	3	2	1	-	1
2018	용산구	이태원2동	337	191	146	165	88	77	25	16	9	41	24	17	44	21	23	1	-	1	22	11	11	2	1	1	8	5	3	18	14	4	1	1	-	3	3	-	4	4	-	-	-	-	2	2	-	1	1	-
2018	용산구	서빙고동	408	217	191	184	89	95	36	20	16	37	21	16	64	36	28	5	2	3	32	18	14	7	7	-	10	6	4	23	13	10	1	-	1	1	-	1	2	1	1	-	-	-	4	3	1	2	1	1
2018	용산구	보광동	626	327	299	282	137	145	61	30	31	84	45	39	81	37	44	7	6	1	29	19	10	2	2	-	23	10	13	33	21	12	3	3	-	2	2	-	9	8	1	1	1	-	9	6	3	-	-	-
2018	용산구	청파동	824	495	329	356	203	153	77	52	25	125	82	43	112	54	58	4	3	1	63	40	23	10	10	-	34	21	13	32	22	10	-	-	-	3	2	1	4	3	1	1	1	-	2	2	-	1	-	1
2018	용산구	원효로1동	444	255	189	209	113	96	46	31	15	62	38	24	52	32	20	5	3	2	19	11	8	7	5	2	16	6	10	20	10	10	-	-	-	1	1	-	5	4	1	-	-	-	2	1	1	-	-	-
2018	용산구	한강로동	519	311	208	244	135	109	51	33	18	76	49	27	72	40	32	7	6	1	23	17	6	8	7	1	14	8	6	16	12	4	2	1	1	1	1	-	2	1	1	-	-	-	2	1	1	1	-	1
2018	용산구	한남동	644	352	292	333	180	153	60	35	25	73	43	30	68	34	34	4	2	2	34	22	12	5	4	1	20	8	12	26	15	11	-	-	-	5	3	2	9	4	5	1	-	1	5	2	3	1	-	1
2018	성동구	소계	11,880	6,874	5,006	5,693	3,178	2,515	1,273	783	490	1,207	706	501	1,480	794	686	108	82	26	687	426	261	163	140	23	449	249	200	465	268	197	38	28	10	98	76	22	80	57	23	14	7	7	87	56	31	38	24	14
2018	성동구	왕십리2동	678	372	306	315	155	160	71	42	29	72	40	32	88	46	42	13	12	1	38	22	16	16	14	2	18	11	7	26	14	12	-	-	-	11	9	2	3	3	-	1	-	1	2	2	-	4	2	2
